Player,Position
Casting,TOP
Clear,TOP
DnDn,TOP
Doran,TOP
DuDu,TOP
Frog,TOP
Kiin,TOP
Mihile,TOP
Morgan,TOP
PerfecT,TOP
Rascal,TOP
Zeus,TOP
kingen,TOP
Canyon,JUNGLE
Cuzz,JUNGLE
DDoiV,JUNGLE
Lucid,JUNGLE
Oner,JUNGLE
Peanut,JUNGLE
Pyosik,JUNGLE
Raptor,JUNGLE
Sponge,JUNGLE
Sylvie,JUNGLE
YoungJae,JUNGLE
Bdd,MID
Bulldog,MID
Calix,MID
Callme,MID
Chovy,MID
Clozer,MID
FATE,MID
Faker,MID
Fisher,MID
Karis,MID
Kyeahoo,MID
Pullbae,MID
SeTab,MID
ShowMaker,MID
Zeka,MID
Aiming,ADC
Deft,ADC
Envyy,ADC
Gumayusi,ADC
Hena,ADC
Jiwoo,ADC
Leaper,ADC
Paduck,ADC
Peyz,ADC
Samver,ADC
Teddy,ADC
Viper,ADC
Andil,SUPPORT
BeryL,SUPPORT
Delight,SUPPORT
Duro,SUPPORT
Execute,SUPPORT
GuGer,SUPPORT
Kellin,SUPPORT
Keria,SUPPORT
Lehends,SUPPORT
Moham,SUPPORT
Pleata,SUPPORT
Pollu,SUPPORT
Quantum,SUPPORT
Vital,SUPPORT
